Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Benchmark,BuyHold-SPY,24.67%,1.20,1.68,-22.11%,1.12,20.01%,42.90%,37.87%,12.1
Cat B: Oil Crisis,B1-OilMomentumSurge,6.61%,0.42,0.57,-23.50%,0.28,20.33%,40.34%,9.77%,11.8
Cat B: Oil Crisis,B2-OilShockHedge,16.58%,0.88,1.23,-21.93%,0.76,19.55%,42.37%,25.03%,12.8
Cat B: Oil Crisis,B3-OilMeanReversion,19.98%,1.14,1.56,-17.83%,1.12,17.30%,44.11%,30.38%,10.2
Cat B: Oil Crisis,B4-EnergyPairs,0.63%,0.12,0.19,-6.45%,0.10,8.17%,30.23%,0.92%,1.5
Cat C: War/Geopolitical,C1-DefenseRotation,-14.36%,-0.85,-1.22,-22.75%,-0.63,16.55%,32.11%,-20.21%,11.6
Cat C: War/Geopolitical,C2-SafeHavenFlight,8.03%,0.59,0.84,-16.32%,0.49,14.96%,40.45%,11.91%,10.8
Cat C: War/Geopolitical,C3-PostWarRecovery,26.28%,1.49,2.26,-13.29%,1.98,16.61%,38.67%,40.47%,8.0
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,-14.45%,-0.95,-1.24,-24.79%,-0.58,15.20%,31.11%,-20.34%,8.2
Cat D: Crash-Hedge (General),D1-FourStateTactical,15.93%,0.86,1.18,-14.37%,1.11,19.53%,43.11%,24.03%,11.3
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,23.14%,1.12,1.52,-17.84%,1.30,20.50%,45.65%,35.41%,11.4
Cat D: Crash-Hedge (General),D3-VolCarry,30.81%,1.41,2.08,-16.07%,1.92,20.54%,40.55%,47.87%,10.1
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,6.51%,0.64,1.00,-10.48%,0.62,10.65%,36.18%,9.62%,2.7
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,27.09%,1.39,2.00,-18.48%,1.47,18.45%,43.37%,41.78%,12.2
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,53.20%,2.38,4.33,-8.07%,6.59,18.63%,55.79%,86.12%,8.6
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,53.83%,2.29,3.62,-12.98%,4.15,19.70%,56.76%,87.24%,13.4
Cat G: Fundamental/Sentiment,G1-SentimentCrisisAlpha,24.39%,1.16,1.64,-22.23%,1.10,20.56%,42.12%,37.41%,13.3
Cat G: Fundamental/Sentiment,G2-FearGreedContrarian,17.65%,0.93,1.27,-18.46%,0.96,19.50%,47.09%,26.71%,10.0
Cat G: Fundamental/Sentiment,G3-SentimentDivergence,10.49%,0.60,0.79,-21.18%,0.50,20.10%,41.95%,15.64%,13.8
Cat G: Fundamental/Sentiment,G4-SentimentEnhancedRegime,28.93%,1.44,2.09,-12.65%,2.29,18.88%,43.93%,44.78%,11.1
Cat H: Crisis Spike (Upward),H1-CommodityShockRider,-14.51%,-1.32,-1.49,-21.32%,-0.68,11.37%,20.69%,-20.42%,3.2
Cat H: Crisis Spike (Upward),H2-GoldFearRally,12.54%,0.82,1.16,-15.94%,0.79,16.08%,41.67%,18.78%,3.8
Cat H: Crisis Spike (Upward),H3-DefenseSpikeBreakout,-5.37%,-0.23,-0.33,-23.21%,-0.23,17.30%,29.21%,-7.73%,3.5
Cat H: Crisis Spike (Upward),H4-MultiAssetCrisisLong,-12.34%,-0.66,-0.91,-24.91%,-0.50,17.59%,32.24%,-17.46%,10.3
Cat H-FI: Fixed Income,H1-YieldCurveTrade,7.12%,0.51,0.74,-17.70%,0.40,16.09%,37.60%,10.53%,5.6
Cat H-FI: Fixed Income,H2-CreditSpreadMeanRev,22.15%,1.55,2.55,-9.61%,2.31,13.51%,38.72%,33.83%,1.5
Cat H-FI: Fixed Income,H3-DurationTiming,4.09%,0.32,0.48,-20.86%,0.20,16.93%,36.77%,6.01%,6.5
Cat I: Momentum,I1-TimeSeriesMomentum,13.14%,1.19,1.89,-8.91%,1.48,10.83%,40.86%,19.70%,4.1
Cat I: Momentum,I2-CrossSectionalMomentum,22.44%,1.45,2.26,-10.76%,2.09,14.71%,44.24%,34.29%,6.9
Cat I: Momentum,I3-DualMomentum,55.24%,2.27,3.54,-10.64%,5.19,20.28%,43.80%,89.75%,12.9
Cat I: Momentum,I4-MomentumVolScaled,23.75%,1.60,2.45,-11.14%,2.13,13.93%,40.72%,36.39%,8.5
Cat J: Mean Reversion,J1-SectorMeanReversion,26.43%,1.73,2.74,-9.88%,2.67,14.14%,42.68%,40.71%,7.1
Cat J: Mean Reversion,J2-OvernightGapFade,3.09%,0.33,0.49,-9.46%,0.33,10.99%,32.31%,4.54%,2.1
Cat J: Mean Reversion,J3-RSIMeanReversion,8.03%,0.67,1.04,-11.06%,0.73,12.75%,36.04%,11.90%,4.8
Cat J: Mean Reversion,J4-CointegrationPairs,2.92%,1.06,1.89,-1.86%,1.57,2.75%,47.83%,4.28%,1.5
Cat K: Factor,K1-LowVolFactor,16.78%,0.92,1.28,-17.91%,0.94,18.80%,41.67%,25.34%,10.6
Cat K: Factor,K2-MultiFactorComposite,27.31%,1.81,2.99,-10.11%,2.70,13.89%,41.67%,42.14%,6.9
Cat K: Factor,K3-SizeFactor,26.30%,1.24,1.73,-22.11%,1.19,20.63%,43.62%,40.51%,12.0
