Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Benchmark,BuyHold-SPY,0.33%,0.12,0.16,-20.37%,0.02,20.04%,53.78%,0.33%,13.8
Cat B: Oil Crisis,B1-OilMomentumSurge,-5.27%,-0.17,-0.23,-15.43%,-0.34,19.93%,52.33%,-5.27%,12.8
Cat B: Oil Crisis,B2-OilShockHedge,4.53%,0.32,0.42,-17.07%,0.27,20.51%,54.67%,4.53%,15.5
Cat B: Oil Crisis,B3-OilMeanReversion,9.90%,0.62,0.88,-15.10%,0.66,17.76%,56.67%,9.90%,11.8
Cat B: Oil Crisis,B4-EnergyPairs,-20.51%,-1.58,-1.86,-21.71%,-0.94,13.91%,37.50%,-20.51%,4.3
Cat C: War/Geopolitical,C1-DefenseRotation,15.42%,0.83,1.20,-11.44%,1.35,19.61%,52.16%,15.42%,16.5
Cat C: War/Geopolitical,C2-SafeHavenFlight,18.35%,1.17,1.81,-10.23%,1.79,15.38%,53.92%,18.35%,15.1
Cat C: War/Geopolitical,C3-PostWarRecovery,-16.29%,-0.99,-1.24,-23.71%,-0.69,16.56%,43.02%,-16.29%,6.7
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,2.68%,0.23,0.33,-13.49%,0.20,19.48%,52.27%,2.68%,11.6
Cat D: Crash-Hedge (General),D1-FourStateTactical,-9.68%,-0.45,-0.61,-17.40%,-0.56,18.88%,49.80%,-9.68%,13.4
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,-2.06%,-0.01,-0.01,-14.30%,-0.14,19.43%,50.22%,-2.06%,12.1
Cat D: Crash-Hedge (General),D3-VolCarry,8.13%,0.49,0.68,-14.64%,0.56,19.80%,51.95%,8.13%,11.7
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,-4.74%,-1.62,-1.68,-5.54%,-0.86,2.98%,30.00%,-4.74%,0.4
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,26.12%,1.31,2.04,-13.72%,1.90,19.03%,52.79%,26.12%,16.6
