Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Benchmark,BuyHold-SPY,16.41%,0.90,1.27,-32.99%,0.50,18.97%,43.03%,2351.53%,11.3
Cat B: Oil Crisis,B1-OilMomentumSurge,2.69%,0.25,0.35,-33.39%,0.08,15.80%,40.53%,74.93%,11.4
Cat B: Oil Crisis,B2-OilShockHedge,2.17%,0.22,0.31,-43.44%,0.05,14.24%,43.18%,57.21%,14.7
Cat B: Oil Crisis,B3-OilMeanReversion,4.90%,0.45,0.66,-31.11%,0.16,12.29%,41.62%,173.78%,9.4
Cat B: Oil Crisis,B4-EnergyPairs,3.47%,0.31,0.44,-28.55%,0.12,14.73%,39.26%,105.21%,6.4
Cat C: War/Geopolitical,C1-DefenseRotation,8.84%,0.63,0.93,-30.50%,0.29,15.21%,42.56%,494.81%,14.0
Cat C: War/Geopolitical,C2-SafeHavenFlight,0.88%,0.14,0.20,-31.72%,0.03,9.22%,44.32%,20.38%,11.3
Cat C: War/Geopolitical,C3-PostWarRecovery,6.71%,0.47,0.67,-38.52%,0.17,16.61%,40.73%,292.90%,11.2
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,7.11%,0.53,0.77,-28.99%,0.25,15.13%,43.32%,324.44%,12.2
Cat D: Crash-Hedge (General),D1-FourStateTactical,10.23%,0.63,0.89,-32.30%,0.32,17.98%,42.85%,677.28%,13.1
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,18.18%,0.94,1.34,-24.82%,0.73,19.82%,43.94%,3270.11%,12.7
Cat D: Crash-Hedge (General),D3-VolCarry,16.03%,0.89,1.28,-31.77%,0.50,18.75%,43.94%,2189.32%,11.9
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,0.63%,0.11,0.16,-42.29%,0.01,9.63%,44.78%,14.19%,5.0
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,6.91%,0.55,0.81,-31.37%,0.22,13.92%,42.53%,308.70%,11.5
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,12.69%,0.93,1.44,-39.11%,0.32,13.87%,53.23%,1138.60%,5.7
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,14.08%,0.89,1.35,-32.59%,0.43,16.26%,50.14%,1501.42%,11.7
Cat G: Fundamental/Sentiment,G1-SentimentCrisisAlpha,12.81%,0.80,1.15,-36.30%,0.35,16.96%,44.20%,1164.85%,14.9
Cat G: Fundamental/Sentiment,G2-FearGreedContrarian,14.86%,0.87,1.22,-24.40%,0.61,17.83%,43.83%,1750.90%,7.1
Cat G: Fundamental/Sentiment,G3-SentimentDivergence,13.49%,0.78,1.12,-31.52%,0.43,18.35%,43.31%,1336.24%,15.5
Cat G: Fundamental/Sentiment,G4-SentimentEnhancedRegime,11.33%,0.71,1.02,-24.95%,0.45,17.08%,43.41%,858.65%,13.4
Cat H: Crisis Spike (Upward),H1-CommodityShockRider,1.62%,0.19,0.27,-39.87%,0.04,12.47%,40.27%,40.27%,4.4
Cat H: Crisis Spike (Upward),H2-GoldFearRally,1.32%,0.21,0.30,-23.95%,0.06,7.86%,48.36%,31.77%,3.1
Cat H: Crisis Spike (Upward),H3-DefenseSpikeBreakout,2.13%,0.25,0.35,-28.75%,0.07,11.13%,41.84%,55.93%,1.8
Cat H: Crisis Spike (Upward),H4-MultiAssetCrisisLong,0.09%,0.05,0.08,-23.05%,0.00,8.80%,42.02%,1.92%,9.7
Cat H-FI: Fixed Income,H1-YieldCurveTrade,0.98%,0.14,0.20,-34.73%,0.03,11.65%,43.70%,22.85%,8.2
Cat H-FI: Fixed Income,H2-CreditSpreadMeanRev,5.44%,0.50,0.71,-24.46%,0.22,12.09%,43.08%,205.23%,4.1
Cat H-FI: Fixed Income,H3-DurationTiming,-1.24%,-0.05,-0.08,-47.89%,-0.03,11.24%,43.98%,-23.12%,10.1
Cat I: Momentum,I1-TimeSeriesMomentum,11.34%,0.70,0.99,-28.61%,0.40,17.51%,43.06%,859.68%,14.6
Cat I: Momentum,I2-CrossSectionalMomentum,8.64%,0.56,0.78,-31.42%,0.27,17.56%,42.01%,472.41%,15.1
Cat I: Momentum,I3-DualMomentum,11.50%,0.71,1.01,-32.40%,0.35,17.46%,43.60%,890.41%,13.9
Cat I: Momentum,I4-MomentumVolScaled,11.90%,0.70,0.99,-27.12%,0.44,18.41%,41.93%,967.60%,16.5
Cat J: Mean Reversion,J1-SectorMeanReversion,8.01%,0.57,0.80,-39.25%,0.20,15.51%,42.84%,407.07%,11.3
Cat J: Mean Reversion,J2-OvernightGapFade,6.27%,0.52,0.78,-34.79%,0.18,13.50%,37.89%,259.76%,5.0
Cat J: Mean Reversion,J3-RSIMeanReversion,3.39%,0.33,0.47,-29.75%,0.11,12.52%,39.03%,101.91%,10.3
Cat J: Mean Reversion,J4-CointegrationPairs,1.57%,0.45,0.64,-11.64%,0.13,3.57%,50.11%,38.73%,3.6
Cat K: Factor,K1-LowVolFactor,16.00%,0.84,1.20,-27.81%,0.58,20.02%,41.57%,2176.95%,13.8
Cat K: Factor,K2-MultiFactorComposite,14.34%,0.84,1.21,-28.64%,0.50,17.79%,42.34%,1580.57%,16.2
Cat K: Factor,K3-SizeFactor,8.79%,0.56,0.79,-36.50%,0.24,17.80%,43.46%,490.06%,13.3
Cat K: Factor,K4-ValueFactor,14.58%,0.81,1.14,-25.36%,0.57,19.19%,41.37%,1657.52%,15.1
Cat L: Volatility,L1-VolRiskPremium,17.34%,0.92,1.30,-33.06%,0.52,19.55%,42.96%,2798.37%,13.4
Cat L: Volatility,L2-VolSpreadHarvest,12.82%,0.85,1.19,-35.64%,0.36,15.68%,42.91%,1168.88%,4.4
Cat L: Volatility,L3-VolTermStructure,14.86%,0.86,1.24,-24.52%,0.61,18.08%,44.51%,1750.34%,16.2
Cat L: Volatility,L4-VolOfVolRegime,17.86%,0.92,1.33,-31.26%,0.57,19.98%,42.05%,3084.02%,15.7
Cat L: Volatility,L5-VolSpikeRecovery,9.95%,0.84,1.20,-18.20%,0.55,12.26%,54.38%,637.10%,1.3
