Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Benchmark,BuyHold-SPY,-3.65%,-0.10,-0.13,-24.50%,-0.15,19.11%,37.86%,-9.79%,11.7
Cat B: Oil Crisis,B1-OilMomentumSurge,-7.82%,-0.66,-0.86,-24.53%,-0.32,11.38%,36.84%,-20.22%,8.0
Cat B: Oil Crisis,B2-OilShockHedge,-6.46%,-0.55,-0.75,-24.19%,-0.27,11.12%,35.29%,-16.92%,9.9
Cat B: Oil Crisis,B3-OilMeanReversion,-6.75%,-0.83,-1.06,-21.98%,-0.31,8.00%,35.76%,-17.63%,7.4
Cat B: Oil Crisis,B4-EnergyPairs,-1.22%,-0.06,-0.09,-18.94%,-0.06,10.65%,31.65%,-3.36%,3.2
Cat C: War/Geopolitical,C1-DefenseRotation,5.03%,0.39,0.58,-24.02%,0.21,15.50%,38.14%,14.58%,12.3
Cat C: War/Geopolitical,C2-SafeHavenFlight,-5.78%,-0.47,-0.63,-26.60%,-0.22,11.31%,38.22%,-15.23%,11.5
Cat C: War/Geopolitical,C3-PostWarRecovery,-6.85%,-0.43,-0.58,-23.83%,-0.29,14.19%,30.62%,-17.87%,8.3
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,-4.49%,-0.26,-0.35,-23.48%,-0.19,14.02%,34.54%,-11.97%,10.0
Cat D: Crash-Hedge (General),D1-FourStateTactical,-1.74%,-0.02,-0.03,-32.30%,-0.05,16.82%,38.54%,-4.76%,12.9
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,4.84%,0.33,0.45,-24.82%,0.19,21.12%,39.39%,14.00%,12.1
Cat D: Crash-Hedge (General),D3-VolCarry,-3.05%,-0.12,-0.16,-24.53%,-0.12,15.72%,39.29%,-8.24%,10.5
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,-7.37%,-0.76,-0.98,-23.88%,-0.31,9.52%,34.44%,-19.14%,3.4
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,-5.59%,-0.38,-0.53,-24.49%,-0.23,12.81%,36.14%,-14.74%,10.2
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,23.19%,1.43,2.23,-14.80%,1.57,15.45%,55.59%,78.33%,6.0
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,-6.81%,-0.62,-0.81,-26.67%,-0.26,10.49%,39.69%,-17.76%,10.3
Cat G: Fundamental/Sentiment,G1-SentimentCrisisAlpha,0.30%,0.09,0.12,-24.39%,0.01,14.13%,41.74%,0.84%,15.0
Cat G: Fundamental/Sentiment,G2-FearGreedContrarian,0.82%,0.14,0.18,-23.18%,0.04,18.44%,39.18%,2.29%,5.2
Cat G: Fundamental/Sentiment,G3-SentimentDivergence,-2.48%,-0.08,-0.11,-23.56%,-0.11,15.76%,38.05%,-6.72%,15.4
Cat G: Fundamental/Sentiment,G4-SentimentEnhancedRegime,-0.76%,0.03,0.04,-23.68%,-0.03,15.25%,40.10%,-2.08%,13.0
Cat H: Crisis Spike (Upward),H1-CommodityShockRider,0.59%,0.11,0.16,-16.35%,0.04,14.53%,32.26%,1.65%,3.0
Cat H: Crisis Spike (Upward),H2-GoldFearRally,-8.34%,-0.44,-0.58,-24.79%,-0.34,16.54%,29.13%,-21.45%,2.8
Cat H: Crisis Spike (Upward),H3-DefenseSpikeBreakout,-4.69%,-0.62,-0.71,-16.20%,-0.29,7.27%,27.59%,-12.47%,0.6
Cat H: Crisis Spike (Upward),H4-MultiAssetCrisisLong,-5.87%,-0.38,-0.50,-24.18%,-0.24,13.43%,30.54%,-15.44%,7.5
Cat H-FI: Fixed Income,H1-YieldCurveTrade,-2.11%,-0.05,-0.07,-29.40%,-0.07,16.44%,37.94%,-5.76%,7.7
Cat H-FI: Fixed Income,H2-CreditSpreadMeanRev,7.11%,0.54,0.78,-16.34%,0.44,14.67%,38.16%,21.00%,1.7
Cat H-FI: Fixed Income,H3-DurationTiming,-1.29%,0.02,0.02,-30.19%,-0.04,17.72%,37.88%,-3.54%,10.3
Cat I: Momentum,I1-TimeSeriesMomentum,-8.00%,-0.91,-1.13,-24.86%,-0.32,8.75%,33.10%,-20.64%,4.6
Cat I: Momentum,I2-CrossSectionalMomentum,-6.06%,-0.46,-0.60,-22.03%,-0.28,11.96%,34.26%,-15.93%,10.6
Cat I: Momentum,I3-DualMomentum,-3.76%,-0.13,-0.18,-27.20%,-0.14,17.47%,36.42%,-10.08%,13.8
Cat I: Momentum,I4-MomentumVolScaled,-5.59%,-0.39,-0.52,-24.86%,-0.22,12.71%,36.33%,-14.74%,8.7
