Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Benchmark,BuyHold-SPY,26.33%,1.29,1.88,-21.68%,1.21,19.62%,39.80%,176.14%,11.6
Cat B: Oil Crisis,B1-OilMomentumSurge,9.19%,0.54,0.77,-24.04%,0.38,20.25%,37.19%,46.53%,13.4
Cat B: Oil Crisis,B2-OilShockHedge,7.35%,0.48,0.69,-26.60%,0.28,18.52%,36.86%,36.11%,15.7
Cat B: Oil Crisis,B3-OilMeanReversion,17.18%,0.99,1.50,-29.60%,0.58,17.64%,37.31%,99.17%,12.4
Cat B: Oil Crisis,B4-EnergyPairs,1.95%,0.22,0.31,-22.67%,0.09,12.19%,35.25%,8.75%,4.9
Cat C: War/Geopolitical,C1-DefenseRotation,13.27%,0.85,1.30,-17.48%,0.76,16.26%,36.63%,71.82%,13.0
Cat C: War/Geopolitical,C2-SafeHavenFlight,5.76%,0.50,0.73,-19.77%,0.29,12.98%,37.70%,27.58%,11.9
Cat C: War/Geopolitical,C3-PostWarRecovery,8.71%,0.54,0.75,-20.84%,0.42,18.87%,36.98%,43.76%,11.5
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,5.71%,0.38,0.54,-24.66%,0.23,19.50%,36.87%,27.27%,12.3
Cat D: Crash-Hedge (General),D1-FourStateTactical,19.49%,0.99,1.44,-22.27%,0.88,19.91%,38.77%,116.77%,13.3
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,19.26%,0.99,1.42,-23.91%,0.81,19.87%,39.76%,114.96%,12.4
Cat D: Crash-Hedge (General),D3-VolCarry,26.51%,1.26,1.85,-24.30%,1.09,20.38%,40.46%,177.78%,11.3
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,4.85%,0.46,0.66,-15.18%,0.32,11.81%,38.27%,22.86%,3.5
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,19.57%,1.05,1.60,-26.28%,0.74,18.69%,37.60%,117.38%,13.8
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,6.42%,0.45,0.68,-25.30%,0.25,17.06%,48.78%,31.06%,9.4
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,31.43%,1.51,2.35,-27.25%,1.15,19.36%,48.44%,227.91%,15.2
Cat G: Fundamental/Sentiment,G1-SentimentCrisisAlpha,19.17%,0.99,1.44,-24.69%,0.78,19.59%,39.37%,114.31%,14.7
Cat G: Fundamental/Sentiment,G2-FearGreedContrarian,26.91%,1.38,2.06,-19.82%,1.36,18.47%,40.70%,181.64%,7.3
Cat G: Fundamental/Sentiment,G3-SentimentDivergence,24.31%,1.17,1.73,-23.12%,1.05,20.30%,38.89%,157.41%,14.9
Cat G: Fundamental/Sentiment,G4-SentimentEnhancedRegime,25.50%,1.25,1.83,-17.94%,1.42,19.77%,39.44%,168.32%,13.9
Cat H: Crisis Spike (Upward),H1-CommodityShockRider,9.61%,0.69,1.03,-22.03%,0.44,14.92%,36.84%,49.01%,3.3
Cat H: Crisis Spike (Upward),H2-GoldFearRally,10.63%,0.78,1.22,-23.78%,0.45,14.19%,36.62%,55.13%,3.8
