Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Benchmark,BuyHold-SPY,-21.13%,-1.44,-1.81,-30.79%,-0.69,15.61%,33.00%,-29.17%,11.6
Cat B: Oil Crisis,B1-OilMomentumSurge,2.27%,0.22,0.31,-22.21%,0.10,16.51%,36.13%,3.31%,10.1
Cat B: Oil Crisis,B2-OilShockHedge,4.79%,0.34,0.48,-25.69%,0.19,18.56%,37.35%,7.02%,12.9
Cat B: Oil Crisis,B3-OilMeanReversion,-3.61%,-0.23,-0.32,-13.40%,-0.27,12.41%,35.62%,-5.19%,6.3
Cat B: Oil Crisis,B4-EnergyPairs,7.74%,0.57,0.80,-11.80%,0.66,15.22%,42.40%,11.43%,5.6
Cat C: War/Geopolitical,C1-DefenseRotation,-8.91%,-0.61,-0.80,-23.43%,-0.38,13.72%,37.41%,-12.68%,14.1
Cat C: War/Geopolitical,C2-SafeHavenFlight,-5.75%,-0.34,-0.48,-15.91%,-0.36,14.38%,34.47%,-8.24%,8.0
Cat C: War/Geopolitical,C3-PostWarRecovery,-11.68%,-0.94,-1.23,-20.36%,-0.57,12.39%,22.22%,-16.51%,3.4
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,4.81%,0.35,0.53,-18.02%,0.27,18.32%,35.75%,7.07%,8.8
Cat D: Crash-Hedge (General),D1-FourStateTactical,-17.42%,-1.25,-1.58,-24.95%,-0.70,14.41%,31.52%,-24.26%,13.9
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,-14.75%,-1.14,-1.44,-22.98%,-0.64,13.22%,34.06%,-20.69%,11.6
Cat D: Crash-Hedge (General),D3-VolCarry,-18.10%,-1.32,-1.63,-29.81%,-0.61,14.38%,33.33%,-25.17%,11.2
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,-9.36%,-1.17,-1.43,-17.81%,-0.53,8.09%,24.53%,-13.30%,0.6
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,3.21%,0.28,0.41,-13.94%,0.23,16.12%,35.43%,4.69%,8.0
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,-12.17%,-1.38,-1.56,-23.30%,-0.52,9.08%,42.50%,-17.18%,1.6
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,-11.44%,-0.83,-1.05,-24.98%,-0.46,13.57%,37.50%,-16.18%,6.7
Cat G: Fundamental/Sentiment,G1-SentimentCrisisAlpha,-16.80%,-0.94,-1.25,-25.00%,-0.67,17.94%,31.68%,-23.45%,13.9
Cat G: Fundamental/Sentiment,G2-FearGreedContrarian,-23.70%,-1.58,-2.03,-34.26%,-0.69,16.26%,34.82%,-32.48%,11.2
Cat G: Fundamental/Sentiment,G3-SentimentDivergence,-23.99%,-1.99,-2.32,-32.88%,-0.73,13.35%,29.49%,-32.86%,15.1
Cat G: Fundamental/Sentiment,G4-SentimentEnhancedRegime,-16.59%,-1.40,-1.73,-23.66%,-0.70,12.39%,31.85%,-23.17%,14.3
Cat H: Crisis Spike (Upward),H1-CommodityShockRider,-4.90%,-0.25,-0.34,-24.07%,-0.20,15.30%,31.82%,-7.03%,3.7
Cat H: Crisis Spike (Upward),H2-GoldFearRally,-13.09%,-0.83,-1.08,-21.78%,-0.60,15.50%,22.22%,-18.44%,2.1
Cat H: Crisis Spike (Upward),H3-DefenseSpikeBreakout,25.44%,1.66,3.62,-6.42%,3.96,14.24%,35.42%,38.99%,1.5
Cat H: Crisis Spike (Upward),H4-MultiAssetCrisisLong,3.24%,0.26,0.38,-19.06%,0.17,19.67%,33.69%,4.74%,12.1
Cat H-FI: Fixed Income,H1-YieldCurveTrade,-16.76%,-1.45,-1.81,-23.93%,-0.70,12.17%,30.52%,-23.39%,11.8
Cat H-FI: Fixed Income,H2-CreditSpreadMeanRev,-16.76%,-1.45,-1.81,-23.93%,-0.70,12.17%,30.52%,-23.39%,12.0
Cat H-FI: Fixed Income,H3-DurationTiming,-16.76%,-1.45,-1.81,-23.93%,-0.70,12.17%,30.52%,-23.39%,11.8
Cat I: Momentum,I1-TimeSeriesMomentum,1.35%,0.19,0.27,-14.28%,0.09,9.87%,36.14%,1.97%,2.1
Cat I: Momentum,I2-CrossSectionalMomentum,4.40%,0.37,0.56,-15.84%,0.28,14.46%,37.93%,6.46%,6.0
Cat I: Momentum,I3-DualMomentum,-14.92%,-1.18,-1.50,-23.14%,-0.64,12.96%,30.86%,-20.91%,12.6
Cat I: Momentum,I4-MomentumVolScaled,4.40%,0.47,0.69,-9.98%,0.44,10.19%,41.01%,6.46%,3.7
Cat J: Mean Reversion,J1-SectorMeanReversion,-8.70%,-0.72,-0.94,-18.01%,-0.48,11.74%,24.53%,-12.38%,1.9
Cat J: Mean Reversion,J2-OvernightGapFade,5.80%,0.62,0.94,-8.09%,0.72,9.96%,38.30%,8.53%,1.9
Cat J: Mean Reversion,J3-RSIMeanReversion,2.49%,0.29,0.43,-11.09%,0.22,10.08%,34.52%,3.63%,3.2
Cat J: Mean Reversion,J4-CointegrationPairs,-0.82%,-0.47,-0.60,-2.92%,-0.28,1.71%,37.50%,-1.18%,0.8
Cat K: Factor,K1-LowVolFactor,-2.05%,-0.01,-0.02,-18.80%,-0.11,19.26%,37.71%,-2.97%,10.6
Cat K: Factor,K2-MultiFactorComposite,1.15%,0.15,0.20,-18.40%,0.06,15.35%,37.80%,1.67%,5.0
Cat K: Factor,K3-SizeFactor,-21.40%,-1.49,-1.87,-30.47%,-0.70,15.38%,33.69%,-29.51%,11.5
Cat K: Factor,K4-ValueFactor,-4.36%,-0.22,-0.29,-19.21%,-0.23,15.16%,36.64%,-6.28%,5.3
Cat L: Volatility,L1-VolRiskPremium,-12.76%,-0.57,-0.79,-22.38%,-0.57,20.26%,32.73%,-17.99%,11.7
Cat L: Volatility,L2-VolSpreadHarvest,-13.49%,-0.64,-0.89,-23.41%,-0.58,19.59%,32.73%,-18.99%,11.2
Cat L: Volatility,L3-VolTermStructure,-16.55%,-1.57,-1.90,-23.47%,-0.71,11.16%,29.81%,-23.11%,14.7
Cat L: Volatility,L4-VolOfVolRegime,-1.77%,0.01,0.01,-16.78%,-0.11,19.97%,32.74%,-2.56%,13.4
Cat L: Volatility,L5-VolSpikeRecovery,-7.51%,-0.36,-0.52,-15.83%,-0.47,17.43%,39.93%,-10.72%,3.6
Cat M: Macro,M1-DollarCarry,-17.90%,-1.55,-1.94,-24.93%,-0.72,12.23%,32.69%,-24.90%,11.1
Cat M: Macro,M2-GoldDollarInverse,37.47%,1.68,2.69,-8.65%,4.33,20.12%,38.19%,58.76%,13.3
Cat M: Macro,M3-EMRiskPremium,-16.76%,-1.45,-1.81,-23.93%,-0.70,12.17%,30.52%,-23.39%,11.8
Cat M: Macro,M4-CommodityMomentum,-21.29%,-2.02,-2.41,-29.47%,-0.72,11.51%,28.12%,-29.37%,11.6
Cat M: Macro,M5-RatesRegimeTrade,-16.63%,-1.50,-1.83,-23.62%,-0.70,11.69%,31.30%,-23.21%,12.0
Cat N: Seasonal,N1-SeasonalStrategy,-16.29%,-1.32,-1.64,-23.36%,-0.70,12.87%,32.26%,-22.75%,11.1
Cat N: Seasonal,N2-TurnOfMonth,-17.90%,-1.55,-1.94,-24.93%,-0.72,12.23%,32.69%,-24.90%,10.6
Cat N: Seasonal,N3-PreHolidayDrift,-9.24%,-1.32,-1.40,-14.87%,-0.62,7.17%,30.95%,-13.14%,0.7
Cat O: Tail Risk,O1-TailRiskParity,-17.53%,-1.07,-1.40,-24.84%,-0.71,16.64%,31.28%,-24.42%,12.7
Cat O: Tail Risk,O2-CrisisAlphaMomentum,-0.08%,0.06,0.09,-9.96%,-0.01,13.93%,26.73%,-0.12%,3.3
