strategy,passive,mixed,aggressive,router
MMT-1-MACDHistogramAcceleration,-20.28752967991275,-33.87979882999504,-37.12207782580564,-37.12207782580564
MRM-1-VWAPVolNormalizedFade,-1.9060593185260903,-3.738481642795121,-4.195026625288642,-1.9060593185260903
VEF-1-RealizedVolImpulseFade,0.0,0.0,0.0,0.0
MMT-2-KSTTSIOpeningBurst,-5.463394323247794,-8.719138421820317,-9.52645269860238,-9.52645269860238
MMT-3-RelativeVolContinuation,-12.18645081825756,-23.608309480499514,-26.37482076789593,-26.37482076789593
MRM-2-WickRejectionFade,-28.188881966260375,-40.670287655595466,-43.65779943243659,-28.188881966260375
MRM-3-BollingerSnapback,2.256381479807408,1.069223343310362,0.763626904551997,2.256381479807408
VEF-2-SqueezeReleaseBreakout,-4.50480921230817,-4.866620503466643,-4.9467880539854665,-4.738860861484152
VEF-3-RangeExpansionExhaustion,0.0,0.0,0.0,0.0
HYB-1-VolRegimeRouter,-22.30226311879738,-35.24838402059169,-38.33165830797286,-35.24838402059169
HYB-2-GapRegimeSelector,-22.133494745427818,-36.438829311480724,-39.83842874070885,-36.438829311480724
