strategy,baseline_sharpe,current_sharpe,delta_sharpe,decision
J5-GlobalMeanReversion,0.24,-0.17,-0.41,rollback_required
K1-LowVolFactor,0.84,0.69,-0.15,rework_priority
M1-DollarCarry,0.7,0.64,-0.06,rework_priority
H4-MultiAssetCrisisLong,0.05,-0.0,-0.05,hold_watch
M4-CommodityMomentum,0.56,0.53,-0.03,hold_watch
Ensemble-BestOfEach,1.33,1.3,-0.03,hold_watch
K6-QualityMomentumComposite,0.02,-0.0,-0.02,hold_watch
M3-EMRiskPremium,0.16,0.15,-0.01,hold_watch
I10-AdaptiveTrendFilter,-0.14,-0.14,0.0,hold_watch
I7-DriftRegimeMomentum,-0.06,-0.06,0.0,hold_watch
C2-SafeHavenFlight,0.15,0.15,0.0,hold_watch
E1-MultiPairPortfolio,0.15,0.15,0.0,hold_watch
H2-GoldFearRally,0.24,0.24,0.0,hold_watch
B1-OilMomentumSurge,0.25,0.25,0.0,hold_watch
H3-DefenseSpikeBreakout,0.26,0.26,0.0,hold_watch
B4-EnergyPairs,0.31,0.31,0.0,hold_watch
I8-TimeSeriesMomDrift,0.31,0.31,0.0,hold_watch
J3-RSIMeanReversion,0.31,0.31,0.0,hold_watch
I5-GlobalMomentumRotation,0.37,0.37,0.0,hold_watch
J4-CointegrationPairs,0.37,0.37,0.0,hold_watch
I1-TimeSeriesMomentum,0.39,0.39,0.0,hold_watch
N2-TurnOfMonth,0.4,0.4,0.0,hold_watch
G6-MultiSignalConsensus,0.41,0.41,0.0,hold_watch
M8-CommodityMacroSignal,0.42,0.42,0.0,hold_watch
K5-RealAssetsFactor,0.44,0.44,0.0,hold_watch
B3-OilMeanReversion,0.45,0.45,0.0,hold_watch
I2-CrossSectionalMomentum,0.46,0.46,0.0,hold_watch
C3-PostWarRecovery,0.47,0.47,0.0,hold_watch
P5-CrossSectionalRanker,0.49,0.49,0.0,hold_watch
C1-DefenseRotation,0.51,0.51,0.0,hold_watch
P2-XGBoostSignalCombo,0.51,0.51,0.0,hold_watch
J2-OvernightGapFade,0.52,0.52,0.0,hold_watch
L9-VIXAdaptiveCarry,0.52,0.52,0.0,hold_watch
MF4-WeeklyMeanReversion,0.52,0.52,0.0,hold_watch
C4-ArmsRaceMomentum,0.53,0.53,0.0,hold_watch
I3-DualMomentum,0.54,0.54,0.0,hold_watch
J6-DriftReversalAlpha,0.54,0.54,0.0,hold_watch
F1-CryptoFlightToQuality,0.55,0.55,0.0,hold_watch
M5-RatesRegimeTrade,0.55,0.55,0.0,hold_watch
K3-SizeFactor,0.56,0.56,0.0,hold_watch
J1-SectorMeanReversion,0.57,0.57,0.0,hold_watch
D4-AdaptiveStopTrend,0.58,0.58,0.0,hold_watch
M1b-DollarCarryScoreboard,0.59,0.59,0.0,hold_watch
F4-CryptoContagionHedge,0.6,0.6,0.0,hold_watch
I4-MomentumVolScaled,0.6,0.6,0.0,hold_watch
R8-VolRegimeSwitcher,0.6,0.6,0.0,hold_watch
R5-RatesTighteningAlpha,0.62,0.62,0.0,hold_watch
D1-FourStateTactical,0.63,0.63,0.0,hold_watch
M9-YieldCurveRegime,0.65,0.65,0.0,hold_watch
M2-GoldDollarInverse,0.68,0.68,0.0,hold_watch
N3-PreHolidayDrift,0.68,0.68,0.0,hold_watch
L8-VolRegimeClustering,0.7,0.7,0.0,hold_watch
MF1-WeeklyMomentumRotation,0.7,0.7,0.0,hold_watch
R1-BearMarketAlpha,0.7,0.7,0.0,hold_watch
MF3-MultiTimeframeTrend,0.71,0.71,0.0,hold_watch
G4-SentimentEnhancedRegime,0.72,0.72,0.0,hold_watch
