category,strategy,cagr,sharpe,sortino,max_drawdown,calmar,ann_vol,win_rate,total_return,trades_per_month,crisis_non_negative_count,crisis_avg_sharpe,priority
Cat L: Volatility,L7-ImpliedRealizedSpread,-0.0135,-0.17,-0.22,-0.3212,-0.04,0.067,0.5147,-0.2491,8.7,2,-0.186667,kill_or_full_rework
Cat I: Momentum,I10-AdaptiveTrendFilter,-0.0146,-0.14,-0.19,-0.3121,-0.05,0.0812,0.5198,-0.2667,20.4,0,-1.005,kill_or_full_rework
Cat I: Momentum,I7-DriftRegimeMomentum,-0.0038,-0.06,-0.08,-0.1548,-0.02,0.046,0.4378,-0.0765,0.6,4,-0.286667,kill_or_full_rework
Cat O: Tail Risk,O9-ATRCrisisAlpha,-0.0041,-0.03,-0.04,-0.2499,-0.02,0.0646,0.5007,-0.0836,3.6,2,-0.255,kill_or_full_rework
Cat O: Tail Risk,O8-VolatilityConvexity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,high_priority_rework
Cat K: Factor,K6-QualityMomentumComposite,-0.0029,0.02,0.03,-0.2453,-0.01,0.1003,0.4859,-0.0592,16.6,2,-0.276667,high_priority_rework
Cat H: Crisis Spike (Upward),H4-MultiAssetCrisisLong,0.0009,0.05,0.08,-0.2305,0.0,0.088,0.4202,0.0192,9.7,2,-0.336667,high_priority_rework
Cat R: Regime Hardening,R10-CommodityMacroOverlay,0.0024,0.09,0.13,-0.1549,0.02,0.0322,0.3978,0.0514,0.2,6,0.056667,high_priority_rework
Cat H-FI: Fixed Income,H1-YieldCurveTrade,0.0098,0.14,0.2,-0.3473,0.03,0.1165,0.437,0.2285,8.2,2,-0.035,high_priority_rework
Cat C: War/Geopolitical,C2-SafeHavenFlight,0.0092,0.15,0.21,-0.3123,0.03,0.0922,0.4441,0.2124,11.3,3,0.185,high_priority_rework
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,0.0096,0.15,0.21,-0.3196,0.03,0.0903,0.4126,0.222,6.0,2,-0.273333,high_priority_rework
Cat M: Macro,M3-EMRiskPremium,0.0116,0.16,0.23,-0.2989,0.04,0.1204,0.4141,0.276,8.3,4,0.353333,high_priority_rework
Cat DL: Deep Learning,DL3-AttentionRanker,0.0119,0.16,0.22,-0.3801,0.03,0.1248,0.4178,0.2816,11.1,5,-0.228333,high_priority_rework
Cat M: Macro,M7-GlobalRotation,0.0141,0.18,0.25,-0.3783,0.04,0.1205,0.4649,0.3441,16.3,3,0.115,high_priority_rework
Cat O: Tail Risk,O6-TailHedgeOverlay,0.0056,0.18,0.26,-0.1555,0.04,0.035,0.5094,0.1245,2.1,5,0.205,high_priority_rework
Cat H: Crisis Spike (Upward),H1-CommodityShockRider,0.0167,0.2,0.28,-0.3969,0.04,0.1247,0.4025,0.4169,4.4,3,-0.101667,high_priority_rework
Cat B: Oil Crisis,B2-OilShockHedge,0.0218,0.22,0.32,-0.4335,0.05,0.1424,0.4318,0.5747,14.7,5,0.326667,high_priority_rework
Cat H: Crisis Spike (Upward),H2-GoldFearRally,0.0161,0.24,0.36,-0.2395,0.07,0.0795,0.4844,0.3991,3.2,3,-0.056667,high_priority_rework
Cat J: Mean Reversion,J5-GlobalMeanReversion,0.0232,0.24,0.34,-0.302,0.08,0.1318,0.4378,0.6207,11.1,2,-0.24,high_priority_rework
Cat B: Oil Crisis,B1-OilMomentumSurge,0.0269,0.25,0.35,-0.3338,0.08,0.158,0.4055,0.7506,11.4,4,0.098333,high_priority_rework
Cat H: Crisis Spike (Upward),H3-DefenseSpikeBreakout,0.0225,0.26,0.36,-0.2832,0.08,0.1113,0.4138,0.5977,1.8,2,0.001667,high_priority_rework
Cat P: ML Signal Combo,P3-GMMRegimeClassifier,0.0287,0.26,0.36,-0.3817,0.08,0.1547,0.4121,0.8145,12.7,3,-0.031667,high_priority_rework
Cat M: Macro,M11-AdaptiveMacroBlend,0.0255,0.27,0.38,-0.3146,0.08,0.1172,0.4364,0.7006,5.5,4,0.241667,high_priority_rework
Cat O: Tail Risk,O4-BlackSwanInsurance,0.0168,0.28,0.41,-0.1918,0.09,0.068,0.5105,0.4195,0.7,4,0.091667,high_priority_rework
Cat B: Oil Crisis,B4-EnergyPairs,0.0351,0.31,0.45,-0.2855,0.12,0.1473,0.393,1.0682,6.4,4,0.003333,watch_and_rework
Cat I: Momentum,I8-TimeSeriesMomDrift,0.028,0.31,0.43,-0.3095,0.09,0.1066,0.4419,0.7897,8.6,4,-0.171667,watch_and_rework
Cat J: Mean Reversion,J3-RSIMeanReversion,0.0318,0.31,0.44,-0.3383,0.09,0.1296,0.389,0.9331,10.5,4,0.156667,watch_and_rework
Cat I: Momentum,I5-GlobalMomentumRotation,0.0492,0.37,0.51,-0.3996,0.12,0.1707,0.4223,1.7477,16.6,3,0.188333,watch_and_rework
Cat J: Mean Reversion,J4-CointegrationPairs,0.0166,0.37,0.52,-0.1629,0.1,0.0471,0.4913,0.4132,4.3,2,-0.366667,watch_and_rework
Cat I: Momentum,I1-TimeSeriesMomentum,0.0506,0.39,0.54,-0.3268,0.15,0.1576,0.4291,1.8263,13.7,4,-0.128333,watch_and_rework
Cat N: Seasonal,N2-TurnOfMonth,0.0478,0.4,0.59,-0.3223,0.15,0.1401,0.4479,1.6713,7.8,3,-0.003333,watch_and_rework
Cat P: ML Signal Combo,G6-MultiSignalConsensus,0.0515,0.41,0.57,-0.3373,0.15,0.1505,0.4347,1.8781,18.6,2,-0.473333,watch_and_rework
