strategy,baseline_sharpe,current_sharpe,delta_sharpe
J5-GlobalMeanReversion,0.24,-0.17,-0.41000000000000003
L1-VolRiskPremium,0.92,0.65,-0.27
K1-LowVolFactor,0.84,0.69,-0.15000000000000002
N1-SeasonalStrategy,0.79,0.66,-0.13
M1-DollarCarry,0.7,0.6,-0.09999999999999998
Ensemble-BestOfEach,1.33,1.28,-0.050000000000000044
H1-CommodityShockRider,0.2,0.15,-0.05000000000000002
H4-MultiAssetCrisisLong,0.05,-0.0,-0.05
M4-CommodityMomentum,0.56,0.53,-0.030000000000000027
DL2-LSTMRegimeDetector,0.66,0.64,-0.020000000000000018
K6-QualityMomentumComposite,0.02,-0.0,-0.02
M3-EMRiskPremium,0.16,0.15,-0.010000000000000009
B4-EnergyPairs,0.31,0.31,0.0
I8-TimeSeriesMomDrift,0.31,0.31,0.0
J3-RSIMeanReversion,0.31,0.31,0.0
C2-SafeHavenFlight,0.15,0.15,0.0
J4-CointegrationPairs,0.37,0.37,0.0
I1-TimeSeriesMomentum,0.39,0.39,0.0
N2-TurnOfMonth,0.4,0.4,0.0
G6-MultiSignalConsensus,0.41,0.41,0.0
L9-VIXAdaptiveCarry,0.52,0.52,0.0
J2-OvernightGapFade,0.52,0.52,0.0
C4-ArmsRaceMomentum,0.53,0.53,0.0
MF4-WeeklyMeanReversion,0.52,0.52,0.0
I2-CrossSectionalMomentum,0.46,0.46,0.0
B3-OilMeanReversion,0.45,0.45,0.0
C3-PostWarRecovery,0.47,0.47,0.0
I5-GlobalMomentumRotation,0.37,0.37,0.0
H3-DefenseSpikeBreakout,0.26,0.26,0.0
B1-OilMomentumSurge,0.25,0.25,0.0
I10-AdaptiveTrendFilter,-0.14,-0.14,0.0
E1-MultiPairPortfolio,0.15,0.15,0.0
F4-CryptoContagionHedge,0.6,0.6,0.0
I4-MomentumVolScaled,0.6,0.6,0.0
M5-RatesRegimeTrade,0.55,0.55,0.0
F1-CryptoFlightToQuality,0.55,0.55,0.0
J1-SectorMeanReversion,0.57,0.57,0.0
D4-AdaptiveStopTrend,0.58,0.58,0.0
M1b-DollarCarryScoreboard,0.59,0.59,0.0
K3-SizeFactor,0.56,0.56,0.0
D1-FourStateTactical,0.63,0.63,0.0
M9-YieldCurveRegime,0.65,0.65,0.0
R5-RatesTighteningAlpha,0.62,0.62,0.0
R8-VolRegimeSwitcher,0.6,0.6,0.0
I3-DualMomentum,0.54,0.54,0.0
J6-DriftReversalAlpha,0.54,0.54,0.0
P2-XGBoostSignalCombo,0.51,0.51,0.0
C1-DefenseRotation,0.51,0.51,0.0
M2-GoldDollarInverse,0.68,0.68,0.0
N3-PreHolidayDrift,0.68,0.68,0.0
K4-ValueFactor,0.81,0.81,0.0
G3-SentimentDivergence,0.78,0.78,0.0
G5-CryptoSentimentDivergence,0.76,0.76,0.0
K2-MultiFactorComposite,0.77,0.77,0.0
P4-AdaptiveThreshold,0.75,0.75,0.0
M10-MacroSignalScoreboard,0.75,0.75,0.0
G4-SentimentEnhancedRegime,0.72,0.72,0.0
MF1-WeeklyMomentumRotation,0.7,0.7,0.0
MF3-MultiTimeframeTrend,0.71,0.71,0.0
P5-CrossSectionalRanker,0.49,0.49,0.0
K5-RealAssetsFactor,0.44,0.44,0.0
M8-CommodityMacroSignal,0.42,0.42,0.0
H2-GoldFearRally,0.24,0.24,0.0
I7-DriftRegimeMomentum,-0.06,-0.06,0.0
R6-BondEquityHedge,1.07,1.07,0.0
L11-VolRiskPremiumAdaptive,0.92,0.92,0.0
F2-CryptoRecoverySurge,0.93,0.93,0.0
O7-PreciousMetalsCrisisHedge,0.92,0.92,0.0
L6-CrossAssetVolSignal,1.01,1.01,0.0
R4-AdaptiveRiskBudget,1.02,1.02,0.0
F2b-CryptoRecoverySurgeATR,1.07,1.07,0.0
D2-CrashHedgeQQQ,0.94,0.94,0.0
MF2-MonthlyMacroRegime,1.24,1.24,0.0
R9-MultiAssetCTATrend,1.13,1.13,0.0
F3-CryptoGoldDivergence,0.89,0.89,0.0
D3-VolCarry,0.89,0.89,0.0
O1-TailRiskParity,0.9,0.9,0.0
G2-FearGreedContrarian,0.9,0.9,0.0
Q2-MultiAssetTrend,0.74,0.74,0.0
L8-VolRegimeClustering,0.7,0.7,0.0
L3-VolTermStructure,0.86,0.86,0.0
P1-FeatureComboSignal,0.83,0.83,0.0
L5-VolSpikeRecovery,0.84,0.84,0.0
Q3-MomentumCrashFilter,0.83,0.83,0.0
Q1-QualityTrend,0.84,0.84,0.0
L2-VolSpreadHarvest,0.85,0.85,0.0
R7-VolExplosionAlpha,0.85,0.85,0.0
L10-DynamicVolRegimeSwitch,0.84,0.84,0.0
BuyHold-SPY,0.9,0.9,0.0
R3-DefensiveRotation,0.86,0.86,0.0
L4-VolOfVolRegime,0.92,0.92,0.0
R1-BearMarketAlpha,0.7,0.7,0.0
M11-AdaptiveMacroBlend,0.27,0.28,0.010000000000000009
M7-GlobalRotation,0.18,0.2,0.020000000000000018
H2-CreditSpreadMeanRev,0.5,0.53,0.030000000000000027
DL1-TemporalCNNAlpha,0.41,0.46,0.050000000000000044
H1-YieldCurveTrade,0.14,0.22,0.07999999999999999
L7-ImpliedRealizedSpread,-0.17,-0.08,0.09000000000000001
G1-SentimentCrisisAlpha,0.79,0.89,0.09999999999999998
B2-OilShockHedge,0.22,0.43,0.21
DL3-AttentionRanker,0.16,0.45,0.29000000000000004
P3-GMMRegimeClassifier,0.26,0.59,0.32999999999999996
O6-TailHedgeOverlay,0.18,0.59,0.41
O9-ATRCrisisAlpha,-0.03,0.51,0.54
R10-CommodityMacroOverlay,0.09,0.65,0.56
O4-BlackSwanInsurance,0.28,1.03,0.75
O8-VolatilityConvexity,0.0,0.85,0.85
