Strategy,IS_Sharpe,WF_Sharpe,Degradation,IS_CAGR,WF_CAGR,WF_MaxDD,Fold_Std,Pct_Pos
P1-FeatureComboSignal,0.97,0.93,0.04,18.7%,17.7%,-27.2%,0.75,86%
D2-CrashHedgeQQQ,0.94,1.0,-0.06,18.2%,19.7%,-27.3%,1.01,86%
F2-CryptoRecoverySurge,0.93,1.06,-0.13,12.7%,15.9%,-36.2%,1.42,64%
L1-VolRiskPremium,0.92,0.93,-0.02,17.3%,17.9%,-32.4%,0.98,79%
L4-VolOfVolRegime,0.92,0.97,-0.05,17.9%,19.0%,-27.8%,0.79,86%
O1-TailRiskParity,0.9,0.9,-0.0,16.3%,16.7%,-35.9%,1.06,79%
D3-VolCarry,0.89,0.87,0.02,16.0%,16.2%,-29.2%,0.91,79%
F3-CryptoGoldDivergence,0.89,0.9,-0.0,14.1%,14.5%,-41.3%,1.27,64%
Q2-MultiAssetTrend,0.88,0.92,-0.04,15.3%,17.3%,-30.6%,0.92,86%
G2-FearGreedContrarian,0.94,0.9,0.04,16.2%,15.6%,-25.8%,0.78,86%
L3-VolTermStructure,0.86,0.82,0.04,14.9%,15.4%,-35.1%,0.99,79%
L2-VolSpreadHarvest,0.85,0.9,-0.06,12.8%,13.6%,-22.9%,0.83,86%
K1-LowVolFactor,0.84,0.85,-0.01,16.0%,16.1%,-25.4%,0.76,86%
K2-MultiFactorComposite,0.84,0.79,0.05,14.3%,14.5%,-31.4%,0.93,79%
L5-VolSpikeRecovery,0.84,0.87,-0.03,9.9%,9.8%,-18.2%,0.83,79%
Q1-QualityTrend,0.84,0.96,-0.12,14.3%,18.0%,-35.8%,1.18,79%
Q3-MomentumCrashFilter,0.83,0.96,-0.13,14.3%,18.3%,-35.4%,0.97,79%
K4-ValueFactor,0.81,0.8,0.0,14.6%,14.8%,-26.1%,0.86,71%
G1-SentimentCrisisAlpha,0.81,0.75,0.06,13.0%,13.2%,-41.0%,1.1,71%
N1-SeasonalStrategy,0.79,0.62,0.17,12.3%,10.0%,-34.6%,0.97,71%
G3-SentimentDivergence,0.78,0.76,0.02,13.5%,14.0%,-39.8%,1.06,79%
O6-TailHedgeOverlay,0.18,0.06,0.12,0.6%,0.1%,-15.1%,0.87,64%
P4-AdaptiveThreshold,0.83,0.87,-0.03,15.0%,16.0%,-32.0%,0.84,86%
MF1-WeeklyMomRotation,0.78,0.76,0.02,14.2%,14.2%,-29.8%,0.64,79%
MF2-MonthlyMacroRegime,1.24,1.15,0.09,22.2%,21.0%,-28.7%,1.03,93%
R9-MultiAssetCTATrend,1.2,1.25,-0.05,23.7%,25.2%,-31.1%,1.08,79%
** ENSEMBLE **,1.34,1.19,0.14,25.3%,22.3%,-20.0%,0.91,79%
