Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Benchmark,BuyHold-SPY,24.67%,1.20,1.68,-22.11%,1.12,20.01%,42.90%,37.87%,12.1
Cat B: Oil Crisis,B1-OilMomentumSurge,7.11%,0.43,0.60,-23.79%,0.30,20.98%,39.53%,10.52%,12.3
Cat B: Oil Crisis,B2-OilShockHedge,5.47%,0.36,0.49,-22.90%,0.24,20.67%,39.66%,8.06%,15.8
Cat B: Oil Crisis,B3-OilMeanReversion,19.99%,1.14,1.56,-17.83%,1.12,17.30%,44.11%,30.39%,10.2
Cat B: Oil Crisis,B4-EnergyPairs,0.63%,0.12,0.19,-6.45%,0.10,8.17%,30.23%,0.92%,1.5
Cat C: War/Geopolitical,C1-DefenseRotation,-14.73%,-0.89,-1.25,-23.24%,-0.63,16.44%,33.03%,-20.72%,11.6
Cat C: War/Geopolitical,C2-SafeHavenFlight,-6.17%,-0.27,-0.36,-24.99%,-0.25,17.64%,37.97%,-8.86%,12.1
Cat C: War/Geopolitical,C3-PostWarRecovery,26.28%,1.49,2.26,-13.29%,1.98,16.61%,38.67%,40.47%,8.0
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,-14.45%,-0.95,-1.24,-24.78%,-0.58,15.21%,31.11%,-20.33%,8.2
Cat D: Crash-Hedge (General),D1-FourStateTactical,15.93%,0.86,1.18,-14.37%,1.11,19.53%,43.11%,24.03%,11.3
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,23.14%,1.12,1.52,-17.84%,1.30,20.50%,45.65%,35.41%,11.4
Cat D: Crash-Hedge (General),D3-VolCarry,30.81%,1.41,2.08,-16.07%,1.92,20.54%,40.55%,47.87%,10.1
Cat D: Crash-Hedge (General),D4-AdaptiveStopTrend,42.53%,1.90,2.89,-10.46%,4.07,19.70%,43.71%,67.54%,12.5
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,-14.55%,-1.15,-1.49,-21.90%,-0.66,12.90%,31.92%,-20.47%,12.9
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,27.17%,1.40,2.01,-18.40%,1.48,18.45%,43.37%,41.91%,12.2
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,53.20%,2.38,4.33,-8.07%,6.59,18.63%,55.79%,86.12%,8.6
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,53.83%,2.29,3.62,-12.98%,4.15,19.70%,56.76%,87.24%,13.4
Cat F: Crypto Crisis,F4-CryptoContagionHedge,12.41%,1.20,1.81,-10.56%,1.18,10.23%,35.97%,18.57%,4.0
Cat F: Crypto Crisis,F2b-CryptoRecoverySurgeATR,54.46%,2.46,4.45,-8.15%,6.68,18.37%,55.79%,88.36%,10.2
Cat G: Fundamental/Sentiment,G1-SentimentCrisisAlpha,20.22%,1.00,1.38,-22.23%,0.91,20.61%,42.57%,30.76%,13.2
Cat G: Fundamental/Sentiment,G2-FearGreedContrarian,14.38%,0.79,1.07,-18.46%,0.78,19.47%,47.24%,21.61%,10.0
Cat G: Fundamental/Sentiment,G3-SentimentDivergence,10.49%,0.60,0.79,-21.18%,0.50,20.10%,41.95%,15.64%,13.8
Cat G: Fundamental/Sentiment,G4-SentimentEnhancedRegime,28.93%,1.44,2.09,-12.65%,2.29,18.88%,43.93%,44.78%,11.1
Cat G: Fundamental/Sentiment,G5-CryptoSentimentDivergence,27.93%,1.33,1.91,-19.18%,1.46,19.95%,45.65%,43.15%,11.3
Cat H: Crisis Spike (Upward),H1-CommodityShockRider,-17.92%,-1.59,-1.78,-24.99%,-0.72,11.95%,20.00%,-24.99%,3.9
Cat H: Crisis Spike (Upward),H2-GoldFearRally,12.57%,0.82,1.16,-15.94%,0.79,16.10%,41.67%,18.83%,3.9
Cat H: Crisis Spike (Upward),H3-DefenseSpikeBreakout,-5.37%,-0.23,-0.33,-23.21%,-0.23,17.30%,29.21%,-7.73%,3.5
Cat H: Crisis Spike (Upward),H4-MultiAssetCrisisLong,2.85%,0.24,0.34,-20.35%,0.14,19.96%,32.67%,4.18%,11.4
Cat H-FI: Fixed Income,H1-YieldCurveTrade,9.63%,0.65,1.01,-16.35%,0.59,16.03%,37.25%,14.33%,5.2
Cat H-FI: Fixed Income,H2-CreditSpreadMeanRev,23.28%,1.62,2.68,-9.35%,2.49,13.47%,39.28%,35.63%,1.5
Cat I: Momentum,I1-TimeSeriesMomentum,6.47%,0.67,1.01,-9.90%,0.65,10.11%,37.08%,9.56%,3.9
Cat I: Momentum,I2-CrossSectionalMomentum,28.39%,1.49,2.19,-16.54%,1.72,17.83%,42.16%,43.90%,11.5
Cat I: Momentum,I3-DualMomentum,48.03%,1.98,3.00,-16.71%,2.87,20.97%,42.24%,77.05%,12.7
Cat I: Momentum,I4-MomentumVolScaled,29.31%,1.74,2.62,-13.48%,2.17,15.44%,41.43%,45.41%,10.2
Cat I: Momentum,I5-GlobalMomentumRotation,11.58%,0.82,1.26,-11.83%,0.98,14.63%,38.31%,17.30%,6.8
Cat I: Momentum,I10-AdaptiveTrendFilter,-8.97%,-0.45,-0.62,-24.47%,-0.37,17.38%,34.36%,-12.80%,18.9
Cat I: Momentum,I7-DriftRegimeMomentum,0.00%,0.00,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.0
Cat I: Momentum,I8-TimeSeriesMomDrift,2.61%,0.58,0.81,-5.07%,0.52,4.65%,41.25%,3.82%,2.0
Cat J: Mean Reversion,J1-SectorMeanReversion,19.46%,1.00,1.42,-13.85%,1.41,19.74%,41.97%,29.55%,11.2
Cat J: Mean Reversion,J2-OvernightGapFade,3.09%,0.33,0.49,-9.46%,0.33,10.99%,32.31%,4.54%,2.2
Cat J: Mean Reversion,J3-RSIMeanReversion,0.29%,0.76,14.70,-0.02%,13.52,0.38%,25.00%,0.42%,0.2
Cat J: Mean Reversion,J4-CointegrationPairs,3.25%,0.94,1.60,-3.43%,0.95,3.46%,49.14%,4.77%,1.8
Cat J: Mean Reversion,J5-GlobalMeanReversion,30.53%,1.63,2.53,-9.51%,3.21,17.30%,40.82%,47.41%,7.9
Cat J: Mean Reversion,J6-DriftReversalAlpha,0.00%,0.00,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.0
Cat K: Factor,K1-LowVolFactor,8.17%,0.62,0.91,-10.42%,0.78,14.18%,35.93%,12.12%,6.3
Cat K: Factor,K2-MultiFactorComposite,28.02%,1.84,3.05,-9.93%,2.82,13.96%,41.03%,43.29%,7.1
Cat K: Factor,K3-SizeFactor,26.30%,1.24,1.73,-22.11%,1.19,20.63%,43.62%,40.51%,12.0
Cat K: Factor,K4-ValueFactor,27.40%,1.76,3.02,-10.53%,2.60,14.31%,41.67%,42.29%,6.7
Cat K: Factor,K5-RealAssetsFactor,15.94%,1.10,1.69,-14.65%,1.09,14.36%,41.92%,24.04%,6.1
Cat K: Factor,K6-QualityMomentumComposite,7.80%,0.66,1.01,-9.14%,0.85,12.59%,39.67%,11.56%,6.1
Cat L: Volatility,L1-VolRiskPremium,11.15%,0.64,0.86,-23.99%,0.46,19.67%,41.90%,16.65%,10.2
Cat L: Volatility,L2-VolSpreadHarvest,17.22%,0.96,1.30,-21.19%,0.81,18.33%,43.20%,26.03%,7.6
Cat L: Volatility,L3-VolTermStructure,30.13%,1.32,1.88,-21.68%,1.39,21.85%,41.81%,46.74%,14.4
