Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Benchmark,BuyHold-SPY,0.33%,0.12,0.16,-20.37%,0.02,20.04%,53.78%,0.33%,13.8
Cat B: Oil Crisis,B1-OilMomentumSurge,0.58%,0.13,0.18,-13.00%,0.04,20.87%,52.33%,0.58%,12.8
Cat B: Oil Crisis,B2-OilShockHedge,14.39%,0.76,1.03,-10.29%,1.40,20.53%,54.98%,14.39%,17.0
Cat B: Oil Crisis,B3-OilMeanReversion,9.90%,0.62,0.88,-15.10%,0.66,17.76%,56.67%,9.90%,11.8
Cat B: Oil Crisis,B4-EnergyPairs,-20.51%,-1.58,-1.86,-21.71%,-0.94,13.91%,37.50%,-20.51%,4.3
Cat C: War/Geopolitical,C1-DefenseRotation,20.92%,1.07,1.59,-9.80%,2.14,19.55%,52.99%,20.92%,16.8
Cat C: War/Geopolitical,C2-SafeHavenFlight,2.54%,0.23,0.33,-17.06%,0.15,18.47%,50.23%,2.54%,15.8
Cat C: War/Geopolitical,C3-PostWarRecovery,-16.29%,-0.99,-1.24,-23.71%,-0.69,16.56%,43.02%,-16.29%,6.7
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,2.68%,0.23,0.33,-13.49%,0.20,19.48%,52.27%,2.68%,11.6
Cat D: Crash-Hedge (General),D1-FourStateTactical,-9.11%,-0.41,-0.57,-17.04%,-0.53,18.87%,49.40%,-9.11%,13.3
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,-2.06%,-0.01,-0.01,-14.30%,-0.14,19.43%,50.22%,-2.06%,12.1
Cat D: Crash-Hedge (General),D3-VolCarry,8.13%,0.49,0.68,-14.64%,0.56,19.80%,51.95%,8.13%,11.7
Cat D: Crash-Hedge (General),D4-AdaptiveStopTrend,-11.98%,-0.58,-0.77,-18.00%,-0.67,18.80%,52.59%,-11.98%,14.0
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,-6.70%,-0.57,-0.74,-16.18%,-0.41,11.16%,48.94%,-6.70%,14.2
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,26.12%,1.31,2.04,-13.72%,1.90,19.03%,52.79%,26.12%,16.6
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,0.00%,0.00,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.0
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,16.79%,0.88,1.31,-16.27%,1.03,19.95%,56.67%,16.79%,12.3
Cat F: Crypto Crisis,F4-CryptoContagionHedge,-1.68%,0.01,0.01,-17.20%,-0.10,18.98%,53.78%,-1.68%,10.2
Cat F: Crypto Crisis,F2b-CryptoRecoverySurgeATR,0.00%,0.00,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.0
Cat G: Fundamental/Sentiment,G1-SentimentCrisisAlpha,9.32%,0.52,0.74,-12.07%,0.77,21.56%,56.18%,9.32%,14.1
Cat G: Fundamental/Sentiment,G2-FearGreedContrarian,7.56%,0.47,0.66,-16.58%,0.46,19.43%,53.39%,7.56%,10.4
Cat G: Fundamental/Sentiment,G3-SentimentDivergence,19.21%,0.96,1.33,-14.28%,1.35,20.58%,54.58%,19.21%,15.8
Cat G: Fundamental/Sentiment,G4-SentimentEnhancedRegime,-3.92%,-0.12,-0.16,-19.02%,-0.21,18.88%,52.19%,-3.92%,15.4
Cat G: Fundamental/Sentiment,G5-CryptoSentimentDivergence,-3.58%,-0.13,-0.18,-17.40%,-0.21,16.73%,53.78%,-3.58%,6.8
Cat H: Crisis Spike (Upward),H1-CommodityShockRider,-13.38%,-0.72,-0.92,-16.21%,-0.83,17.73%,47.44%,-13.38%,4.8
Cat H: Crisis Spike (Upward),H2-GoldFearRally,14.37%,0.73,1.10,-13.91%,1.03,21.71%,52.63%,14.37%,4.5
Cat H: Crisis Spike (Upward),H3-DefenseSpikeBreakout,-7.19%,-0.40,-0.55,-18.82%,-0.38,15.51%,38.46%,-7.19%,2.1
Cat H: Crisis Spike (Upward),H4-MultiAssetCrisisLong,-5.43%,-0.21,-0.29,-17.82%,-0.30,18.62%,47.06%,-5.43%,11.3
Cat H-FI: Fixed Income,H1-YieldCurveTrade,40.04%,1.78,2.82,-8.75%,4.57,20.09%,54.18%,40.04%,13.8
Cat H-FI: Fixed Income,H2-CreditSpreadMeanRev,15.14%,0.84,1.17,-14.12%,1.07,18.97%,54.58%,15.14%,11.3
Cat I: Momentum,I1-TimeSeriesMomentum,0.00%,0.00,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.0
Cat I: Momentum,I2-CrossSectionalMomentum,-13.15%,-0.68,-0.88,-20.76%,-0.63,18.36%,50.91%,-13.15%,11.5
Cat I: Momentum,I3-DualMomentum,-9.52%,-0.40,-0.55,-20.44%,-0.47,19.93%,51.39%,-9.52%,14.6
Cat I: Momentum,I4-MomentumVolScaled,-7.93%,-0.59,-0.76,-12.06%,-0.66,12.58%,51.49%,-7.93%,4.8
Cat I: Momentum,I5-GlobalMomentumRotation,-4.91%,-0.20,-0.27,-19.46%,-0.25,17.67%,45.80%,-4.91%,9.2
