Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Benchmark,BuyHold-SPY,16.41%,0.90,1.27,-32.99%,0.50,18.97%,43.03%,2351.52%,11.3
Cat B: Oil Crisis,B1-OilMomentumSurge,0.95%,0.14,0.19,-42.18%,0.02,14.86%,41.34%,22.07%,11.8
Cat B: Oil Crisis,B2-OilShockHedge,5.16%,0.43,0.60,-28.89%,0.18,14.16%,45.22%,188.54%,16.8
Cat B: Oil Crisis,B3-OilMeanReversion,4.90%,0.45,0.66,-31.07%,0.16,12.29%,41.62%,173.95%,9.4
Cat B: Oil Crisis,B4-EnergyPairs,3.51%,0.31,0.45,-28.55%,0.12,14.73%,39.30%,106.82%,6.4
Cat C: War/Geopolitical,C1-DefenseRotation,6.69%,0.51,0.74,-37.78%,0.18,14.85%,42.16%,291.29%,14.1
Cat C: War/Geopolitical,C2-SafeHavenFlight,0.02%,0.03,0.05,-24.25%,0.00,6.08%,51.14%,0.32%,12.0
Cat C: War/Geopolitical,C3-PostWarRecovery,6.72%,0.47,0.67,-38.52%,0.17,16.61%,40.74%,293.07%,11.2
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,7.11%,0.53,0.77,-28.99%,0.25,15.13%,43.32%,324.55%,12.2
Cat D: Crash-Hedge (General),D1-FourStateTactical,10.26%,0.63,0.89,-32.30%,0.32,17.98%,42.83%,682.17%,13.1
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,18.18%,0.94,1.34,-24.82%,0.73,19.82%,43.94%,3270.14%,12.7
Cat D: Crash-Hedge (General),D3-VolCarry,16.03%,0.89,1.28,-31.77%,0.50,18.75%,43.93%,2189.28%,11.9
Cat D: Crash-Hedge (General),D4-AdaptiveStopTrend,7.03%,0.58,0.84,-31.41%,0.22,13.33%,43.17%,318.20%,10.8
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,-1.08%,-0.34,-0.46,-24.90%,-0.04,3.10%,46.65%,-20.47%,15.6
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,6.92%,0.55,0.81,-31.37%,0.22,13.92%,42.55%,309.17%,11.5
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,12.69%,0.93,1.44,-39.11%,0.32,13.87%,53.23%,1138.60%,5.7
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,14.07%,0.89,1.34,-32.59%,0.43,16.26%,50.16%,1498.38%,11.7
Cat F: Crypto Crisis,F4-CryptoContagionHedge,5.99%,0.60,0.86,-21.49%,0.28,10.74%,42.34%,240.42%,3.3
Cat F: Crypto Crisis,F2b-CryptoRecoverySurgeATR,15.60%,1.07,1.69,-23.96%,0.65,14.56%,52.85%,2016.60%,6.0
Cat G: Fundamental/Sentiment,G1-SentimentCrisisAlpha,15.22%,0.89,1.28,-39.09%,0.39,17.72%,43.92%,1877.25%,14.8
Cat G: Fundamental/Sentiment,G2-FearGreedContrarian,15.29%,0.90,1.27,-24.40%,0.63,17.64%,43.96%,1900.67%,6.9
Cat G: Fundamental/Sentiment,G3-SentimentDivergence,13.49%,0.78,1.12,-31.52%,0.43,18.35%,43.31%,1336.26%,15.5
Cat G: Fundamental/Sentiment,G4-SentimentEnhancedRegime,11.49%,0.72,1.03,-24.95%,0.46,17.08%,43.41%,887.46%,13.4
Cat G: Fundamental/Sentiment,G5-CryptoSentimentDivergence,11.63%,0.76,1.10,-29.43%,0.40,16.08%,44.16%,914.51%,6.2
Cat H: Crisis Spike (Upward),H1-CommodityShockRider,1.06%,0.15,0.21,-24.63%,0.04,10.74%,37.98%,24.95%,5.0
