Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Benchmark,BuyHold-SPY,-3.65%,-0.10,-0.13,-24.50%,-0.15,19.11%,37.86%,-9.79%,11.7
Cat B: Oil Crisis,B1-OilMomentumSurge,-5.16%,-0.40,-0.55,-22.12%,-0.23,11.52%,37.35%,-13.68%,8.2
Cat B: Oil Crisis,B2-OilShockHedge,-5.97%,-0.92,-1.17,-24.66%,-0.24,6.46%,38.61%,-15.70%,13.5
Cat B: Oil Crisis,B3-OilMeanReversion,-6.75%,-0.83,-1.06,-21.97%,-0.31,8.01%,36.00%,-17.62%,7.4
Cat B: Oil Crisis,B4-EnergyPairs,-1.22%,-0.06,-0.09,-18.93%,-0.06,10.66%,31.88%,-3.35%,3.2
Cat C: War/Geopolitical,C1-DefenseRotation,-1.03%,0.00,0.01,-24.97%,-0.04,14.90%,36.80%,-2.84%,12.3
Cat C: War/Geopolitical,C2-SafeHavenFlight,-6.72%,-0.58,-0.76,-24.20%,-0.28,10.92%,37.20%,-17.54%,12.0
Cat C: War/Geopolitical,C3-PostWarRecovery,-6.83%,-0.43,-0.58,-23.81%,-0.29,14.19%,30.62%,-17.83%,8.3
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,-4.49%,-0.26,-0.35,-23.48%,-0.19,14.02%,34.54%,-11.97%,10.0
Cat D: Crash-Hedge (General),D1-FourStateTactical,-1.74%,-0.02,-0.03,-32.30%,-0.05,16.82%,38.54%,-4.76%,12.9
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,4.84%,0.33,0.45,-24.82%,0.19,21.12%,39.39%,14.00%,12.1
Cat D: Crash-Hedge (General),D3-VolCarry,-3.05%,-0.12,-0.16,-24.53%,-0.12,15.72%,39.29%,-8.24%,10.5
Cat D: Crash-Hedge (General),D4-AdaptiveStopTrend,-5.50%,-0.28,-0.38,-32.51%,-0.17,15.76%,37.95%,-14.51%,10.4
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,-9.70%,-1.06,-1.38,-24.87%,-0.39,9.23%,32.31%,-24.65%,13.5
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,-5.59%,-0.38,-0.53,-24.49%,-0.23,12.81%,36.14%,-14.74%,10.2
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,23.19%,1.43,2.23,-14.80%,1.57,15.45%,55.59%,78.33%,6.0
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,-6.80%,-0.62,-0.81,-26.65%,-0.26,10.49%,40.10%,-17.73%,10.3
Cat F: Crypto Crisis,F4-CryptoContagionHedge,4.16%,0.60,0.87,-8.63%,0.48,7.17%,43.29%,11.98%,1.2
Cat F: Crypto Crisis,F2b-CryptoRecoverySurgeATR,20.48%,1.25,1.97,-15.15%,1.35,15.85%,53.45%,67.66%,6.1
