Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Benchmark,BuyHold-SPY,26.33%,1.29,1.88,-21.68%,1.21,19.62%,39.80%,176.14%,11.6
Cat B: Oil Crisis,B1-OilMomentumSurge,9.20%,0.54,0.77,-24.02%,0.38,20.25%,37.19%,46.60%,13.4
Cat B: Oil Crisis,B2-OilShockHedge,7.36%,0.48,0.69,-26.57%,0.28,18.53%,36.86%,36.15%,15.7
Cat B: Oil Crisis,B3-OilMeanReversion,17.18%,0.99,1.50,-29.60%,0.58,17.64%,37.31%,99.17%,12.4
Cat B: Oil Crisis,B4-EnergyPairs,2.06%,0.23,0.32,-22.33%,0.09,12.18%,35.25%,9.25%,5.0
Cat C: War/Geopolitical,C1-DefenseRotation,12.15%,0.79,1.21,-18.91%,0.64,16.25%,36.20%,64.60%,13.1
Cat C: War/Geopolitical,C2-SafeHavenFlight,5.76%,0.50,0.73,-19.76%,0.29,12.98%,37.75%,27.58%,11.9
Cat C: War/Geopolitical,C3-PostWarRecovery,8.72%,0.54,0.75,-20.84%,0.42,18.87%,36.98%,43.80%,11.5
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,5.75%,0.38,0.54,-24.54%,0.23,19.49%,36.87%,27.48%,12.3
Cat D: Crash-Hedge (General),D1-FourStateTactical,19.49%,0.99,1.44,-22.27%,0.88,19.91%,38.77%,116.77%,13.3
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,19.28%,0.99,1.42,-23.91%,0.81,19.87%,39.76%,115.09%,12.4
Cat D: Crash-Hedge (General),D3-VolCarry,26.51%,1.26,1.85,-24.30%,1.09,20.38%,40.46%,177.79%,11.3
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,7.90%,0.64,0.94,-15.04%,0.53,13.29%,37.16%,39.17%,4.5
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,19.57%,1.05,1.60,-26.28%,0.74,18.69%,37.64%,117.43%,13.8
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,6.42%,0.45,0.68,-25.30%,0.25,17.06%,48.78%,31.06%,9.4
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,31.43%,1.51,2.35,-27.25%,1.15,19.36%,48.44%,227.91%,15.2
Cat F: Crypto Crisis,F4-CryptoContagionHedge,3.21%,0.44,0.67,-10.48%,0.31,7.95%,29.43%,14.72%,2.6
Cat G: Fundamental/Sentiment,G1-SentimentCrisisAlpha,19.17%,0.99,1.44,-24.69%,0.78,19.59%,39.37%,114.31%,14.7
Cat G: Fundamental/Sentiment,G2-FearGreedContrarian,26.74%,1.38,2.05,-19.82%,1.35,18.48%,40.70%,179.99%,7.3
Cat G: Fundamental/Sentiment,G3-SentimentDivergence,24.31%,1.17,1.73,-23.12%,1.05,20.30%,38.89%,157.41%,14.9
Cat G: Fundamental/Sentiment,G4-SentimentEnhancedRegime,25.50%,1.25,1.83,-17.94%,1.42,19.77%,39.44%,168.32%,13.9
Cat G: Fundamental/Sentiment,G5-CryptoSentimentDivergence,18.44%,1.01,1.50,-22.86%,0.81,18.42%,41.19%,108.65%,8.5
Cat H: Crisis Spike (Upward),H1-CommodityShockRider,9.77%,0.70,1.04,-22.03%,0.44,14.89%,36.84%,49.96%,3.4
Cat H: Crisis Spike (Upward),H2-GoldFearRally,10.86%,0.80,1.25,-23.78%,0.46,14.22%,36.62%,56.50%,3.8
Cat H: Crisis Spike (Upward),H3-DefenseSpikeBreakout,-5.72%,-0.55,-0.67,-23.20%,-0.25,9.83%,28.07%,-22.59%,1.5
Cat H: Crisis Spike (Upward),H4-MultiAssetCrisisLong,-4.42%,-0.29,-0.39,-26.14%,-0.17,12.74%,30.57%,-17.82%,8.8
Cat H-FI: Fixed Income,H1-YieldCurveTrade,-8.25%,-0.67,-0.90,-34.19%,-0.24,11.75%,32.47%,-31.21%,7.2
Cat H-FI: Fixed Income,H2-CreditSpreadMeanRev,-2.64%,-0.10,-0.14,-27.90%,-0.09,14.96%,35.79%,-10.98%,4.1
Cat I: Momentum,I1-TimeSeriesMomentum,16.81%,1.00,1.47,-12.70%,1.32,17.04%,37.98%,96.46%,12.7
Cat I: Momentum,I2-CrossSectionalMomentum,18.66%,0.97,1.43,-23.45%,0.80,19.57%,37.65%,110.34%,14.7
Cat I: Momentum,I3-DualMomentum,28.70%,1.36,2.04,-18.61%,1.54,20.05%,38.41%,199.35%,12.8
Cat I: Momentum,I4-MomentumVolScaled,13.81%,0.81,1.17,-22.07%,0.63,18.11%,37.61%,75.45%,14.5
Cat I: Momentum,I5-GlobalMomentumRotation,20.10%,1.03,1.55,-23.30%,0.86,19.56%,37.18%,121.65%,15.0
Cat I: Momentum,I10-AdaptiveTrendFilter,-5.07%,-0.59,-0.78,-24.43%,-0.21,8.22%,32.40%,-20.23%,20.0
Cat J: Mean Reversion,J1-SectorMeanReversion,23.35%,1.25,1.90,-14.34%,1.63,18.07%,37.66%,148.93%,10.2
Cat J: Mean Reversion,J2-OvernightGapFade,3.92%,0.34,0.50,-19.39%,0.20,14.63%,33.72%,18.20%,5.1
Cat J: Mean Reversion,J3-RSIMeanReversion,-4.85%,-0.28,-0.39,-28.37%,-0.17,14.23%,34.55%,-19.44%,9.6
Cat J: Mean Reversion,J4-CointegrationPairs,4.28%,1.08,1.65,-4.65%,0.92,3.96%,47.89%,20.00%,3.9
Cat J: Mean Reversion,J5-GlobalMeanReversion,9.68%,0.62,0.91,-19.25%,0.50,17.48%,37.53%,49.39%,10.0
Cat K: Factor,K1-LowVolFactor,-2.66%,-0.05,-0.07,-35.40%,-0.08,18.61%,36.45%,-11.04%,13.5
Cat K: Factor,K2-MultiFactorComposite,8.58%,0.55,0.77,-23.57%,0.36,17.72%,37.90%,43.02%,14.4
Cat K: Factor,K3-SizeFactor,3.26%,0.26,0.37,-24.97%,0.13,18.86%,37.02%,14.94%,12.6
Cat K: Factor,K4-ValueFactor,6.44%,0.44,0.61,-26.39%,0.24,17.98%,36.80%,31.15%,13.7
Cat K: Factor,K5-RealAssetsFactor,14.47%,0.88,1.30,-21.13%,0.69,17.04%,36.39%,79.92%,10.0
Cat K: Factor,K6-QualityMomentumComposite,-8.10%,-0.69,-0.91,-31.56%,-0.26,11.35%,32.85%,-30.72%,15.4
Cat L: Volatility,L1-VolRiskPremium,27.92%,1.32,1.95,-21.68%,1.29,20.15%,39.83%,191.49%,13.0
Cat L: Volatility,L2-VolSpreadHarvest,20.34%,1.28,1.86,-19.34%,1.05,15.41%,39.80%,123.55%,2.3
Cat L: Volatility,L3-VolTermStructure,26.10%,1.23,1.81,-21.09%,1.24,20.62%,38.84%,173.89%,16.1
Cat L: Volatility,L4-VolOfVolRegime,25.03%,1.21,1.77,-24.60%,1.02,20.19%,39.18%,163.93%,15.7
Cat L: Volatility,L5-VolSpikeRecovery,14.96%,1.35,2.03,-15.55%,0.96,10.75%,56.27%,83.24%,0.6
Cat L: Volatility,L6-CrossAssetVolSignal,33.70%,1.54,2.35,-17.97%,1.87,20.21%,38.89%,253.21%,15.0
Cat L: Volatility,L7-ImpliedRealizedSpread,2.29%,0.23,0.33,-24.83%,0.09,13.68%,44.79%,10.35%,8.1
