Category,Strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,AnnVol,WinRate,TotRet,Trades/Mo
Benchmark,BuyHold-SPY,-21.13%,-1.44,-1.81,-30.79%,-0.69,15.61%,33.00%,-29.17%,11.6
Cat B: Oil Crisis,B1-OilMomentumSurge,2.27%,0.22,0.31,-22.21%,0.10,16.51%,36.36%,3.32%,10.2
Cat B: Oil Crisis,B2-OilShockHedge,20.26%,1.02,1.46,-20.08%,1.01,20.16%,39.44%,30.73%,15.7
Cat B: Oil Crisis,B3-OilMeanReversion,-3.57%,-0.23,-0.31,-13.35%,-0.27,12.41%,35.62%,-5.14%,6.3
Cat B: Oil Crisis,B4-EnergyPairs,7.75%,0.57,0.80,-11.80%,0.66,15.20%,42.40%,11.44%,5.6
Cat C: War/Geopolitical,C1-DefenseRotation,-8.52%,-0.58,-0.77,-24.51%,-0.35,13.74%,36.69%,-12.13%,14.3
Cat C: War/Geopolitical,C2-SafeHavenFlight,-5.75%,-0.34,-0.48,-15.91%,-0.36,14.38%,34.47%,-8.24%,8.0
Cat C: War/Geopolitical,C3-PostWarRecovery,-11.67%,-0.94,-1.23,-20.36%,-0.57,12.38%,22.50%,-16.50%,3.4
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,4.82%,0.35,0.53,-18.02%,0.27,18.32%,35.75%,7.07%,8.8
Cat D: Crash-Hedge (General),D1-FourStateTactical,-17.42%,-1.25,-1.58,-24.95%,-0.70,14.41%,31.52%,-24.26%,13.9
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,-14.74%,-1.14,-1.44,-22.98%,-0.64,13.21%,34.31%,-20.67%,11.6
Cat D: Crash-Hedge (General),D3-VolCarry,-18.09%,-1.32,-1.63,-29.81%,-0.61,14.37%,33.53%,-25.16%,11.3
Cat D: Crash-Hedge (General),D4-AdaptiveStopTrend,-17.63%,-1.74,-2.04,-24.55%,-0.72,10.80%,27.27%,-24.55%,10.2
Cat E: Pairs Arbitrage,E1-MultiPairPortfolio,-3.51%,-0.79,-0.94,-8.20%,-0.43,4.41%,32.91%,-5.05%,1.8
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,3.21%,0.28,0.41,-13.94%,0.23,16.12%,35.43%,4.69%,8.0
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,-12.17%,-1.38,-1.56,-23.30%,-0.52,9.08%,42.50%,-17.18%,1.6
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,-11.44%,-0.83,-1.05,-24.98%,-0.46,13.57%,37.50%,-16.18%,6.7
Cat F: Crypto Crisis,F4-CryptoContagionHedge,-6.06%,-0.63,-0.89,-15.69%,-0.39,9.19%,29.17%,-8.68%,2.9
Cat F: Crypto Crisis,F2b-CryptoRecoverySurgeATR,-7.02%,-0.78,-1.03,-19.75%,-0.36,8.84%,38.89%,-10.03%,1.5
Cat G: Fundamental/Sentiment,G1-SentimentCrisisAlpha,-16.53%,-0.92,-1.23,-24.64%,-0.67,17.96%,31.68%,-23.08%,13.9
Cat G: Fundamental/Sentiment,G2-FearGreedContrarian,-21.95%,-1.57,-1.99,-30.55%,-0.72,15.02%,35.87%,-30.23%,11.3
Cat G: Fundamental/Sentiment,G3-SentimentDivergence,-23.99%,-1.99,-2.32,-32.88%,-0.73,13.35%,29.49%,-32.86%,15.1
Cat G: Fundamental/Sentiment,G4-SentimentEnhancedRegime,-16.59%,-1.40,-1.73,-23.66%,-0.70,12.39%,31.85%,-23.17%,14.3
Cat G: Fundamental/Sentiment,G5-CryptoSentimentDivergence,-3.89%,-0.09,-0.14,-19.75%,-0.20,20.27%,34.59%,-5.60%,9.8
Cat H: Crisis Spike (Upward),H1-CommodityShockRider,0.42%,0.11,0.16,-22.70%,0.02,17.44%,32.53%,0.61%,3.4
Cat H: Crisis Spike (Upward),H2-GoldFearRally,-12.46%,-0.78,-1.02,-20.95%,-0.59,15.46%,22.22%,-17.58%,2.2
Cat H: Crisis Spike (Upward),H3-DefenseSpikeBreakout,25.44%,1.66,3.62,-6.42%,3.96,14.24%,35.42%,38.99%,1.5
Cat H: Crisis Spike (Upward),H4-MultiAssetCrisisLong,-11.56%,-0.70,-0.96,-24.79%,-0.47,15.73%,28.31%,-16.34%,15.6
Cat H-FI: Fixed Income,H1-YieldCurveTrade,-16.76%,-1.45,-1.81,-23.93%,-0.70,12.17%,30.52%,-23.39%,11.9
Cat H-FI: Fixed Income,H2-CreditSpreadMeanRev,-16.76%,-1.45,-1.81,-23.93%,-0.70,12.17%,30.52%,-23.39%,12.0
Cat I: Momentum,I1-TimeSeriesMomentum,2.81%,0.38,0.54,-5.39%,0.52,8.17%,45.76%,4.11%,1.2
Cat I: Momentum,I2-CrossSectionalMomentum,-19.18%,-1.41,-1.69,-32.12%,-0.60,14.37%,34.11%,-26.61%,10.3
Cat I: Momentum,I3-DualMomentum,-16.80%,-1.23,-1.56,-24.59%,-0.68,14.12%,31.55%,-23.44%,12.6
Cat I: Momentum,I4-MomentumVolScaled,-1.87%,-0.11,-0.15,-12.16%,-0.15,11.31%,38.89%,-2.70%,4.2
Cat I: Momentum,I5-GlobalMomentumRotation,0.42%,0.20,0.39,-1.47%,0.29,2.16%,20.00%,0.61%,0.3
Cat I: Momentum,I10-AdaptiveTrendFilter,-15.61%,-1.12,-1.44,-24.28%,-0.64,14.28%,31.92%,-21.85%,7.6
Cat I: Momentum,I7-DriftRegimeMomentum,0.00%,0.00,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.0
Cat I: Momentum,I8-TimeSeriesMomDrift,-5.18%,-0.32,-0.48,-11.00%,-0.47,13.76%,24.32%,-7.43%,8.1
Cat J: Mean Reversion,J1-SectorMeanReversion,-9.11%,-0.49,-0.69,-22.04%,-0.41,16.73%,29.93%,-12.95%,5.5
Cat J: Mean Reversion,J2-OvernightGapFade,5.80%,0.62,0.94,-8.09%,0.72,9.96%,38.30%,8.53%,1.9
Cat J: Mean Reversion,J3-RSIMeanReversion,3.35%,0.37,0.56,-11.09%,0.30,10.23%,34.52%,4.90%,3.2
Cat J: Mean Reversion,J4-CointegrationPairs,-1.13%,-0.54,-0.66,-3.56%,-0.32,2.05%,35.71%,-1.63%,0.9
Cat J: Mean Reversion,J6-DriftReversalAlpha,0.00%,0.00,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.0
Cat K: Factor,K1-LowVolFactor,-4.90%,-0.19,-0.26,-24.64%,-0.20,18.17%,37.25%,-7.03%,14.5
Cat K: Factor,K2-MultiFactorComposite,0.84%,0.13,0.18,-18.24%,0.05,15.31%,37.80%,1.22%,4.9
Cat K: Factor,K3-SizeFactor,-21.40%,-1.49,-1.87,-30.47%,-0.70,15.38%,33.69%,-29.51%,11.5
Cat K: Factor,K4-ValueFactor,-4.22%,-0.21,-0.27,-18.91%,-0.22,15.13%,36.64%,-6.07%,5.3
Cat K: Factor,K5-RealAssetsFactor,-5.63%,-0.68,-0.92,-11.29%,-0.50,8.03%,33.77%,-8.07%,2.4
Cat K: Factor,K6-QualityMomentumComposite,-16.40%,-1.56,-1.94,-24.22%,-0.68,11.11%,40.76%,-22.91%,4.2
Cat L: Volatility,L1-VolRiskPremium,-11.67%,-0.51,-0.70,-21.33%,-0.55,20.44%,32.54%,-16.50%,12.3
